id,name_en,qid,matched_label,match_flag,ko,ja,zh,de,fr,es,vi
8424,University of Nottingham,Q472316,University of Nottingham,ok,노팅엄 대학교,ノッティンガム大学,諾丁漢大學,University of Nottingham,Université de Nottingham,Universidad de Nottingham,Đại học Nottingham
8425,Nottingham Trent University,Q2002619,Nottingham Trent University,ok,노팅엄 트렌트 대학교,ノッティンガム・トレント大学,諾丁漢特倫特大學,Nottingham Trent University,Université de Nottingham Trent,universidad Nottingham Trent,
8427,University of Oxford,Q34433,University of Oxford,ok,옥스퍼드 대학교,オックスフォード大学,牛津大学,University of Oxford,Université d'Oxford,Universidad de Oxford,Đại học Oxford
8429,University of Plymouth,Q1711558,University of Plymouth,ok,,プリマス大学,普利茅斯大学,University of Plymouth,Université de Plymouth,Universidad de Plymouth,
8435,University of Reading,Q1432632,University of Reading,ok,레딩 대학교,レディング大学,雷丁大学,University of Reading,Université de Reading,Universidad de Reading,
8441,University of Salford,Q2738622,University of Salford,ok,솔퍼드 대학교,サルフォード大学,索爾福德大學,University of Salford,Université de Salford,Universidad de Salford,Đại học Salford
8447,The University of Sheffield,Q823917,University of Sheffield,ok,셰필드 대학교,シェフィールド大学,谢菲尔德大学,Universität Sheffield,Université de Sheffield,Universidad de Sheffield,
8448,Sheffield Hallam University,Q1752117,Sheffield Hallam University,ok,셰필드 할람 대학교,シェフィールド・ハラム大学,谢菲尔德哈勒姆大学,Sheffield Hallam University,Université de Sheffield Hallam,Universidad de Sheffield Hallam,
8453,University of Southampton,Q76473,University of Southampton,ok,사우샘프턴 대학교,サウサンプトン大学,南安普敦大学,Universität Southampton,Université de Southampton,Universidad de Southampton,Đại học Southampton
8457,University of Stirling,Q963530,University of Stirling,ok,스털링 대학교,スターリング大学,斯特灵大学,University of Stirling,Université de Stirling,Universidad de Stirling,
8459,University of Strathclyde,Q1859178,University of Strathclyde,ok,스트래스클라이드 대학교,ストラスクライド大学,斯特拉斯克萊德大學,University of Strathclyde,Université de Strathclyde,Universidad de Strathclyde,
8461,University of Surrey,Q546976,University of Surrey,ok,서리 대학교,サリー大学,薩里大學,University of Surrey,Université de Surrey,universidad de Surrey,
8462,University of Sussex,Q1161297,University of Sussex,ok,서식스 대학교,サセックス大学,萨塞克斯大学,University of Sussex,Université du Sussex,Universidad de Sussex,
8469,University of Central Lancashire,Q1857773,University of Lancashire,ok,,セントラル・ランカッシャー大学,中央兰开夏大学,,,Universidad de Lancashire,
8472,University of East London,Q1345942,University of East London,ok,이스트 런던 대학교,イーストロンドン大学,東倫敦大學,University of East London,Université de Londres-Est,Universidad del Este de Londres,
8484,University of Westminster,Q1247544,University of Westminster,ok,웨스트민스터 대학교,ウエストミンスター大学,威斯敏斯特大學,University of Westminster,Université de Westminster,Universidad de Westminster,Đại học Westminster
8487,University of Wolverhampton,Q1816202,University of Wolverhampton,ok,울버햄튼 대학교,ウォルヴァーハンプトン大学,伍爾弗漢普頓大學,,Université de Wolverhampton,,
8489,University of York,Q967165,University of York,ok,요크 대학교,ヨーク大学,約克大學,University of York,Université d'York,Universidad de York,
8494,Swansea University,Q1420500,Swansea University,ok,스완지 대학교,スウォンジ大学,斯旺西大学,Swansea University,Université de Swansea,Universidad de Swansea,
8498,Universidad ORT Uruguay,Q3772943,Universidad ORT Uruguay,ok,,ウルグアイORT大学,乌拉圭大学,,,Universidad ORT Uruguay,
8528,Universidad Católica Andres Bello,Q4760155,Andrés Bello Catholic University,ok,,アンドレス・ベジョ・カソリック大学,安德烈斯·貝約天主教大學,Universidad Católica Andrés Bello,Université catholique Andrés-Bello,Universidad Católica Andrés Bello,
8532,Universidad Central de Venezuela,Q936476,Central University of Venezuela,ok,,ベネズエラ中央大学,委內瑞拉中央大學,Universidad Central de Venezuela,Université centrale du Venezuela,Universidad Central de Venezuela,
8583,Hanoi University of Science,Q5649339,Hanoi University of Science,ok,,ハノイ国家大学自然科学大学,河內國家大學附屬自然科學大學,,,,"Trường Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội"
8599,Vietnam National University Hanoi,,not_found,,,,,,,,
8671,Istanbul University,Q6099542,Istanbul University Faculty of Law,ok,,イスタンブール大学法学部,伊斯坦布尔大学法学院,,faculté de droit de l'université d'Istanbul,Facultad de Derecho de la Universidad de Estambul,
8700,Istanbul Aydin University,Q6088582,Istanbul Aydın University,ok,,,伊斯坦布尔阿依登大学,,,,
8729,Duke University,Q168751,Duke University,ok,듀크 대학교,デューク大学,杜克大学,Duke University,Université Duke,Universidad Duke,Đại học Duke
9637,University of Michigan-Flint,Q99474260,University of Michigan Flint Official Bookstore,ok,,,,,,,
9648,Hanoi University of Science and Technology,Q3075696,Hanoi University of Science and Technology,ok,하노이 과학기술대학교,ハノイ工科大学,河內理工大學,Technische Universität Hanoi,Institut polytechnique de Hanoï,,Đại học Bách khoa Hà Nội
9677,Toronto Metropolitan University,Q611723,Toronto Metropolitan University,ok,토론토 메트로폴리턴 대학교,トロント・メトロポリタン大学,多倫多都會大學,Ryerson University,Université métropolitaine de Toronto,Universidad Metropolitana de Toronto,
9698,Corvinus University of Budapest,Q851164,Corvinus University of Budapest,ok,부다페스트 코르비누스 대학교,ブダペシュト・コルヴィヌス大学,布达佩斯考文纽斯大学,Corvinus-Universität Budapest,université Corvinus de Budapest,Universidad Corvinus de Budapest,Đại học Corvinus
9704,Institut d'études politiques de Rennes,Q3151965,Institut d'études politiques de Rennes,ok,,レンヌ政治学院,雷恩政治学院,Institut d’études politiques de Rennes,Institut d'études politiques de Rennes,Instituto de Estudios Políticos de Rennes,
9721,The University of Alabama,Q492318,University of Alabama,ok,앨라배마 대학교,アラバマ大学,阿拉巴马大学,University of Alabama,Université de l'Alabama,Universidad de Alabama,Đại học Alabama
9854,Technological University Dublin,Q55619051,Technological University Dublin,ok,,ダブリン工科大学,都柏林科技大學,Technological University Dublin,université technologique Dublin,Universidad Tecnológica Dublín,
9859,University of Barcelona,Q219615,University of Barcelona,ok,바르셀로나 대학교,バルセロナ大学,巴塞罗那大学,Universität Barcelona,Université de Barcelone,Universidad de Barcelona,Đại học Barcelona
9863,Ulster University,Q2096524,Ulster University,ok,,アルスター大学,阿爾斯特大學,Ulster University,Université d'Ulster,Universidad del Úlster,Đại học Ulster
9929,Université Paris-Saclay,Q109409389,Paris-Saclay University,ok,파리-사클레 대학교,パリ＝サクレー大学,巴黎-薩克雷大學,Universität Paris-Saclay,université Paris-Saclay,Universidad Paris-Saclay,Đại học Paris-Saclay
10099,Shanghai Jiao Tong University,Q525169,Shanghai Jiao Tong University,ok,상하이 자오퉁 대학,上海交通大学,上海交通大学,Jiaotong-Universität Shanghai,université Jiao-tong de Shanghai,Universidad de Shanghái Jiao Tong,Đại học Giao thông Thượng Hải
10107,Western Sydney University,Q1141452,Western Sydney University,ok,웨스턴시드니 대학교,ウェスタンシドニー大学,西悉尼大学,University of Western Sydney,Université occidentale de Sydney,,Đại học Tây Sydney
10109,London South Bank University,Q289348,London South Bank University,ok,런던 사우스뱅크 대학교,ロンドンサウスバンク大学,倫敦南岸大學,London South Bank University,Université de South Bank de Londres,,
10136,KU Leuven,Q833670,Katholieke Universiteit Leuven,ok,루뱅 카톨릭대학교,ルーヴェン・カトリック大学,鲁汶天主教大学 (荷兰语),Katholieke Universiteit Leuven,Université catholique de Louvain,KU Leuven,KU Leuven
